Timestamp,SCOP:AMRF:RF01:AI_MEAS1
2024/04/03 22:59:52.093,-0.087
2024/04/04 00:59:59.982,-0.091
2024/04/04 02:59:59.926,-0.091
2024/04/04 04:59:57.206,-0.089
2024/04/04 06:54:03.611,-0.089
2024/04/04 08:59:56.449,-0.093
2024/04/04 10:59:59.516,-0.089
2024/04/04 12:59:54.229,-0.087
2024/04/04 14:59:59.591,-0.089
2024/04/04 16:59:59.611,-0.093
2024/04/04 18:59:56.125,-0.089
2024/04/04 20:59:50.998,-0.093
2024/04/04 22:55:56.051,-0.089
2024/04/05 00:59:59.695,-0.097
2024/04/05 02:56:06.977,-0.093
2024/04/05 04:59:59.599,-0.091
2024/04/05 06:59:59.199,-0.095
2024/04/05 08:59:59.287,-0.089
2024/04/05 10:59:53.330,-0.091
2024/04/05 12:59:56.275,-0.087
2024/04/05 14:59:50.138,-0.083
2024/04/05 16:59:52.335,-0.089
2024/04/05 18:59:52.003,-0.091
2024/04/05 20:59:59.844,-0.087
2024/04/05 22:57:54.717,-0.085
2024/04/06 00:59:51.351,-0.091
2024/04/06 02:55:53.296,-0.093
2024/04/06 04:59:50.752,-0.087
2024/04/06 06:59:51.013,-0.087
2024/04/06 08:59:59.668,-0.089
2024/04/06 10:59:57.775,-0.087
2024/04/06 12:59:58.975,-0.091
2024/04/06 14:59:54.441,-0.089
2024/04/06 16:59:59.781,-0.089
2024/04/06 18:59:59.517,-0.089
2024/04/06 20:59:57.066,-0.087
2024/04/06 22:59:55.380,-0.087
2024/04/07 00:59:59.656,-0.093
2024/04/07 02:59:56.552,-0.087
2024/04/07 04:59:53.964,-0.091
2024/04/07 06:59:59.040,-0.091
2024/04/07 08:59:57.230,-0.089
2024/04/07 10:59:54.852,-0.091
2024/04/07 12:59:59.084,-0.089
2024/04/07 14:59:59.663,-0.089
2024/04/07 16:59:58.116,-0.083
2024/04/07 18:59:59.519,-0.091
2024/04/07 20:59:54.249,-0.089
2024/04/07 22:59:58.270,-0.089
2024/04/08 00:29:52.785,-0.087
2024/04/08 06:59:32.625,-0.089
2024/04/08 08:04:16.198,-0.087
2024/04/08 10:59:54.536,-0.095
2024/04/08 12:59:54.192,-0.083
2024/04/08 14:59:59.852,-0.087
2024/04/08 16:59:55.534,-0.087
2024/04/08 18:59:59.939,-0.085
2024/04/08 20:59:51.881,-0.085
2024/04/08 22:59:59.830,-0.091
2024/04/09 00:59:51.818,-0.091
2024/04/09 02:59:50.762,-0.085
