Timestamp,BPMS:GUNB:925:FW:X_SLOW,BPMS:GUNB:925:FW:Y_SLOW,SCOP:AMRF:RF01:AI_MEAS1
2024/02/24 18:44:19.650,N/A,N/A,-0.205
2024/02/24 18:44:20.224,N/A,N/A,-0.197
2024/02/24 18:44:20.400,2.510234375,2.1019647216796877,N/A
2024/02/24 18:44:20.782,N/A,N/A,-0.207
2024/02/24 18:44:21.361,N/A,N/A,-0.343
2024/02/24 18:44:21.380,3.8812359619140624,N/A,N/A
2024/02/24 18:44:21.920,N/A,N/A,-0.333
2024/02/24 18:44:22.360,3.9244697570800784,N/A,N/A
2024/02/24 18:44:22.466,N/A,N/A,-0.343
2024/02/24 18:44:23.067,N/A,N/A,-0.415
2024/02/24 18:44:23.438,5.119861907958985,N/A,N/A
2024/02/24 18:44:24.216,N/A,N/A,-0.421
2024/02/24 18:44:24.418,5.229506378173828,N/A,N/A
2024/02/24 18:44:24.795,N/A,N/A,-0.279
2024/02/24 18:44:25.345,N/A,N/A,-0.083
2024/02/24 18:44:25.398,-4.614427642822266,N/A,N/A
2024/02/24 18:44:25.978,N/A,N/A,-0.4309922
2024/02/24 18:44:26.378,-5.102033538818359,N/A,N/A
2024/02/24 18:44:27.358,-5.136798858642578,N/A,N/A
2024/02/24 18:44:28.436,-4.0260914611816405,N/A,N/A
2024/02/24 18:44:29.416,-4.067096710205078,N/A,N/A
2024/02/24 18:44:30.396,-3.971269226074219,N/A,N/A
2024/02/24 18:44:31.376,-2.8739331054687502,N/A,N/A
2024/02/24 18:44:32.356,-2.836939239501953,N/A,N/A
2024/02/24 18:44:33.434,-1.6691810607910156,N/A,N/A
